abstain	әb'stein	vi. 自制, 戒绝, 弃权, 回避	gre toefl
abstemious	æb'sti:mjәs	a. 有节制的, 节约的	gre
abstention	әb'stenʃәn	n. 戒绝, 回避, 弃权	gre
abstentious	æb'stenʃəs	a. 有节制的	gre
abstinence	'æbstinәns	n. 节制, 禁欲, 戒酒; [医] 节制, 禁戒(如禁酒,节欲)	toefl
abstinent	'æbstinәnt	a. 有节制的, 禁欲的; n. 禁欲者	gre
abstract	'æbstrækt	a. 抽象的, 深奥的; n. 摘要, 抽象概念; vt. 摘要, 提炼, 使抽象化; [计] 摘录; 摘要; 抽象	cet4 cet6 gk gre ielts ky toefl
abstraction	æb'strækʃәn	n. 抽象化, 心不在焉, 空想, 提炼, 抽象派作品; [化] 提取; 抽取; 夺取; 夺取反应; 除去	toefl
abstruse	æb'stru:s	a. 难解的, 深奥的	gre toefl
absurd	әb'sә:d	a. 荒谬的, 不合理的, 可笑的; n. 荒诞	cet6 gk gre ielts ky toefl
abundance	ә'bʌndәns	n. 丰富, 充足, 大量; [经] 丰富, 充裕	cet6 gre ielts ky toefl
abundant	ә'bʌndәnt	a. 丰富的, 充分的, 大量的	cet4 gk gre ky toefl
abundantly	ә'bʌndәntli	adv. 大量地, 丰富地	toefl
abuse	ә'bju:s.ә'bju:z	n. 滥用, 虐待, 恶习, 辱骂; vt. 滥用, 辱骂, 虐待	cet4 cet6 gk gre ielts ky toefl
abusive	ә'bju:siv	a. 恶言谩骂的, 被滥用的, 腐败的, 虐待的	gre
abut	ә'bʌt	v. 邻接, 毗邻	gre toefl
abysmal	ә'bizmәl	a. 深不可测的, 无底的	gre
abyss	ә'bis	n. 深渊, 深邃, 地狱	toefl
academic	.ækә'demik	a. 学院的, 学术的, 不切实际的; n. 大学生, 大学教师, 学者, 学会会员	cet4 cet6 gk gre ielts ky toefl
academician	ә.kædә'miʃәn	n. 学会会员, 院士, 学究, 大学生, 学者	gre toefl
academy	ә'kædәmi	n. 学院, 院校, 学会	cet4 cet6 gk ky toefl
acarpous	ei'kɑ:pәs	a. [植]不结果的,无果实的	gre
accede	æk'si:d	vi. 同意, 正式加入, 就任, 继任	gre
accelerate	әk'selәreit	v. 加速, 促进	cet4 cet6 gk gre ielts ky toefl
accelerated	әk'selәreitid	a. 加快的; [医] 加速的	toefl
accelerating	æk'selәreitiŋ	[计] 加速	toefl
acceleration	әk.selә'reiʃәn	n. 加速, 促进, 加速度; [化] 加速度	cet4 toefl
accent	'æksәnt	n. 重音, 口音, 特点, 注重点; vt. 重读, 加重音号于, 强调	cet4 gk ky zk
accentuate	æk'sentjueit	vt. 以重音念, 强调, 重读	gre toefl
accept	әk'sept	vt. 接受, 承认, 同意, 相信, 赞成, 承担, 承兑, 采纳, 接纳, 容忍; vi. 同意	cet4 gk ky zk
acceptable	әk'septәbl	a. 可接受的, 合意的, 可忍受的	cet4
acceptance	әk'septәns	n. 接受, 接纳, 承认, 同意, 赞同, 容忍, 相信; [经] 承兑, 认付, (工程)验收	cet4 cet6 ky
access	'ækses	n. 通路, 入口, 接近, 进入, 使用权, 发作; vt. 访问, 存取, 接近, 使用; [计] 访问, 存取	cet4 cet6 gk gre ielts ky toefl
accessary	әk'sesәri	a. 附属的, 附带的, 从犯的; n. 附件, 同谋, 从犯	cet6
accessibility	әk.sesә'biliti	n. 易接近, 可进入; [化] 可及性; 可达性; 可接近性; 吸湿性	toefl
accessible	әk'sesәbl	a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的	cet6 gk gre ielts toefl
accessory	әk'sesәri	n. 附件, 零件, 附加物, 从犯, 同谋; a. 附属的, 补充的, 同谋的, 帮凶的, 非主要的, 副的; [计] 附件	cet4 cet6 gre ielts ky toefl
accident	'æksidәnt	n. 意外事件, 机遇, 事故, 次要方面; [化] 意外事故; 事故	cet4 gk ky toefl zk
accidental	.æksi'dentl	a. 意外的, 偶然的, 非主要的, 附属的; n. 临时记号, 次要方面	cet4 cet6 ky toefl
accidentally	.æksi'dentli	adv. 偶然地, 意外地	toefl
accidents		n. 意外事故；事故（accident的复数）	ielts
acclaim	ә'kleim	n. 喝彩, 欢呼, 赞同; v. 欢呼, 喝彩, 称赞	gre ielts ky toefl
acclaimed	ə'kleɪmd	v. 欢呼（acclaim的过去式及过去分词）; a. 受到赞扬的	toefl
acclimate	ә'klaimit	vt. 使适应, 使服水土; vi. 服水土, 适应新环境	gre
accolade	.ækәu'leid	n. 荣誉, 赞美, 骑士爵位的授予礼, 连谱号	gre
accommodate	ә'kɒmәdeit	vt. 使适应, 调和, 通融, 容纳, 向...提供; vi. 适应	cet4 cet6 gre ielts ky toefl
accommodating	ә'kɒmәdeitiŋ	a. 与人方便的, 肯通融的	gre toefl
accommodation	ә.kɒmә'deiʃәn	n. 膳宿, 预订铺位, 适应性调节, 调和, 贷款; [医] 调节(眼); 适应	cet4 cet6 gk ielts ky
accommodations		n. 膳宿；住房, 住宿；居住设施（accommodation的复数）	ielts
accompaniment	ә'kʌmpәnimәnt	n. 伴随物, 附加物, 伴奏	toefl
accompany	ә'kʌmpәni	vt. 陪伴, 伴随, 补充, 为...伴奏; vi. 伴奏, 伴唱	cet4 cet6 gk gre ielts ky toefl
accompanying		a. 随同的, 附见的	toefl
accomplice	ә'kʌmplis	n. 共犯, 同谋; [医] 协同菌	gre toefl
accomplish	ә'kʌmpliʃ	vt. 完成, 达到, 实现, 使完美	cet4 gk gre ielts ky toefl
accomplished	ә'kʌmpliʃt	a. 完成的, 实现的, 有造诣的, 熟练的, 善社交的	gre toefl
accomplishment	ә'kʌmpliʃmәnt	n. 成就, 完成	cet6 toefl
accord	ә'kɒ:d	n. 一致, 调和, 协定; vt. 给与, 使一致; vi. 相符合	cet4 cet6 gre ielts ky toefl
accordance	ә'kɒ:dәns	n. 一致, 和谐	cet4 cet6 ky
accordingly	ә'kɒ:diŋli	adv. 相应地, 因此, 于是	cet4 cet6 ky
accordion	ә'kɒ:djәn	n. 手风琴; a. 可折叠的	toefl
accost	ә'kɒst	vt. 招呼, 搭讪, 勾引; [法] 勾引, 引诱	gre toefl
account	ә'kaunt	n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目; vi. 报帐, 解释, 导致, 报偿, 占, 杀死; vt. 认为; [计] 帐户, 帐号	cet4 gk ielts ky toefl
account for		对…负有责任；对…做出解释；说明……的原因；导致；（比例）占	ielts toefl
accountability	ә.kauntә'biliti	n. 负有责任, 可说明性; [化] 衡算计量	gre
accountant	ә'kauntәnt	n. 会计人员, 会计师; [经] 会计师, 会计人员	gk ielts ky toefl
accountants		会计人员	ielts
accounting	ә'kauntiŋ	n. 会计学, 帐单, 清帐; [计] 帐户处理, 记帐	ielts toefl
accredit	ә'kredit	vt. 信托, 确认, 归结于, 委派; [经] 发行信用证, 信托, 委托	toefl
accrete	æ'kri:t	vi. 连生, 合生, 附依; vt. 使依附, 使连接; a. 合生的	gre
accretion	æ'kri:ʃәn	n. 自然增大, 添加, 添加物, 连生; [化] 停滞堆积	gre
accrue	ә'kru:	vi. 自然增加, 产生; [经] 应计, 产生, 出现	gre
accumulate	ә'kju:mjuleit	v. 积聚, 堆积	cet4 cet6 gk gre ielts ky toefl
accumulation	ә.kju:mju'leiʃәn	n. 积聚, 累积, 积聚物; [医] 蓄积, 累积	toefl
accuracy	'ækjurәsi	n. 精确, 正确; [计] 准确度	cet4 cet6 gk gre ielts ky toefl
accurate	'ækjurәt	a. 正确的, 精确的; [经] 准确的, 精确的	cet4 cet6 gre ielts ky toefl
accusation	ækju:'zeiʃәn	n. 控告, 指控, 指责; [法] 控告, 起诉, 告发	toefl
accuse	ә'kju:z	vt. 指责, 控告, 归咎于; vi. 指责, 控告	cet4 cet6 gk gre ielts ky toefl
accuser	ә'kju:zә	n. 控诉者, 指责者; [法] 原告, 指控人, 控告者	ielts
accustom	ә'kʌstәm	vt. 使习惯于	cet4 cet6 ky toefl
accustomed	ә'kʌstәmd	a. 惯常的, 习惯了的	cet4 cet6 gk ky toefl
acerbic	ә'sә:bik	a. 酸的, 尖刻的	gre
acerbity	ә'sә:biti	n. 涩, 酸, 尖刻; [化] 涩度	gre
ache	eik	n. 疼痛; vi. 痛, 哀怜, 渴望	cet4 gk ky zk
achieve	ә'tʃi:v	vt. 完成, 达到; vi. 如愿以偿	cet4 cet6 gk ielts ky toefl zk
achievement	ә'tʃi:vmәnt	n. 完成, 成就, 功业	cet4 cet6 gk ielts toefl
achromatic	ækrәu'mætik	a. 无色的, 不分光的, 消色差的, 非染色质的; [化] 消色差的	gre
acid	'æsid	n. 酸, 酸类物质, 尖刻, 迷幻药; a. 酸的, 酸性的, 尖刻的, 敏锐的; [计] 自动文档互参与索引生成程序	cet4 cet6 gk ielts ky toefl
acidic	ә'sidik	a. 成酸的, 尖刻的, 酸性的; [机] 酸性	toefl
acidity	ә'siditi	n. 酸性; [化] 酸度; 酸性; 酸性反应	toefl
acknowledge	әk'nɒlidʒ	vt. 承认, 告知收悉, 答谢, 报偿; [经] 承认, 答谢, 收到的通知	cet4 cet6 gk gre ielts ky toefl
acme	'ækmi	n. 顶点, 极度, 最高点; [医] 极期	gre toefl
acolyte	'ækәulait	n. 侍僧, 助手	gre
acorn	'eikɒ:n	n. 橡树果实; [机] 浆栎, 浆栎果	gre
acoustic	ә'ku:stik	a. 听觉的, 声学的, 音响的; [医] 听的; 声学的	gre
acoustical	ә'ku:stikәl	a. 听觉的, 声学的	toefl
acquaint	ә'kweint	vt. 使认识, 介绍	cet6 gre ielts ky toefl
acquaintance	ә'kweintәns	n. 认识, 相识者	cet4 cet6 gk gre ky toefl
acquainted	ә'kweintid	a. 知晓的；有知识的；熟识的	gre toefl
acquiesce	.ækwi'es	vi. 默许, 默然同意	gre
acquire	ә'kwaiә	vt. 获得, 学到; [电] 目标锁定	cet4 cet6 gk ielts ky toefl
acquired	ә'kwaiәd	a. 获得的, 后天的; [医] 获得的, 后天的	gre
acquisition	.ækwi'ziʃәn	n. 获得, 获得物; [经] 收购, 招揽, 取得	cet4 cet6 gk ielts ky toefl
acquisitive	ә'kwizitiv	a. 渴望获得的, 贪婪的; [法] 取得的, 获得的, 贪得无厌的	cet6 gre toefl
acquit	ә'kwit	vt. 无罪释放, 表现, 使履行; [法] 开释, 释放, 免	gre toefl
acquittal	ә'kwitәl	n. 履行, 无罪开释; [经] (债务的)清偿	gre
acre	'eikә	n. 英亩	cet4 gk ky toefl
acrid	'ækrid	a. 苦味的, 辛辣的, 讥讽的, 刻薄的; [医] 辛辣的	gre toefl
acrimonious	ækri'mәunjәs	a. 尖刻的, 讥讽的, 激烈的	gre toefl
acrimony	'ækrimәni	n. 严厉, 尖刻; [医] 辛辣	gre toefl
acrobat	'ækrәbæt	n. 表演特技者, 杂技演员	gre ky
acronym	'ækrәunim	n. 首字母缩拼词, 首字母组合词; [计] 字首组合词	gre toefl
acrophobia	.ækrәu'fәubiә	n. 恐高症; [医] 高处恐怖	gre
across	ә'krɒs	prep. 越过, 穿过, 与...相交叉, 在...的对面; adv. 交叉, 到另一边, 在对面, 成十字	gk zk
act	ækt	n. 行动, 行为, 幕, 法案; vi. 行动, 表演, 假装, 见效, 表现, 担当; vt. 扮演, 装作; [计] 先进通信技术, 先进计算机工艺, 自动代码翻译技术	cet4 gk ky zk
acting	'æktiŋ	n. 演戏, 装腔作势; a. 代理的, 演出用的, 起作用的	toefl
action	'ækʃәn	n. 行动, 活动, 动作, 作用, 战斗, 行为, 诉讼; vt. 对...起诉; [计] 方式	cet4 cet6 gk ielts ky toefl zk
actions		n. 动作；行动（action的复数）	ielts
activate	'æktiveit	vt. 使活动, 使激活, 正式建成; vi. 有活力	ielts ky toefl
active	'æktiv	a. 活跃的, 起作用的, 积极的, 有效的, 主动的, 活性的, 现行的, 现役的; n. 主动语态, 积极分子	cet4 gk ky toefl zk
actively	'æktivli	adv. 活跃地, 积极地	toefl
activities		n. （activity复数形式）活动；活动区；活动性	ielts
activity	æk'tiviti	n. 活动, 行动, 活跃, 活力; [计] 活动	cet4 gk ielts ky zk
actor	'æktә	n. 男演员, 行动者; [医] 作用物, 反应物	cet4 gk ielts ky
actress	'æktris	n. 女演员	cet4 gk ky
actual	'æktʃuәl	a. 真实的, 实际的, 现行的; [医] 实际死亡率	cet4 gk ky toefl
actually	'æktʃuәli	adv. 事实上, 竟然, 如今, 现在	cet4 cet6 toefl
actuarial	.æktju'єәriәl	a. 保险计算员的, 保险计算的; [经] 保险公司计算员的, 保险统计	gre
actuate	'æktʃueit	vt. 开动, 驱使, 激励	gre toefl
acuity	ә'kju:әti	n. 尖锐, (疾病的)剧烈, 敏锐; [化] 锐度; 分辨能力	gre
acumen	ә'kju:men	n. 敏锐, 聪明	gre toefl
acupuncture	'ækju.pʌŋktʃә	n. 针刺, 针刺疗法; vt. 施以针灸	toefl
acute	ә'kju:t	a. 尖锐的, 敏锐的, 激烈的, 严重的, 急性的; [医] 急性的; 尖锐的	cet4 cet6 gk gre ielts ky toefl
ad	æd	n. 广告; [计] 地址, 模拟-数字	cet4
adage	'ædidʒ	n. 格言, 谚语	gre toefl
adamant	'ædәmәnt	n. 坚硬的东西; a. 非常坚硬的, 坚强的, 固执的	gre toefl
adapt	ә'dæpt	vt. 使适应, 改编; vi. 适应	cet4 cet6 gk gre ielts ky toefl
adaptable	ә'dæptәbl	a. 能适应的, 适合的, 可修改的	gre toefl
adaptation	.ædæp'teiʃәn	n. 适应, 改编, 改编本; [医] 适应[作用]	gk toefl
adaptive	ә'dæptiv	a. 适应的, 能适应的	toefl
add	æd	vt. 增加, 添加, 附带说明, 计算...总和; vi. 做加法, 积累而成, 增添; [计] 加法	cet4 gk ky zk
addendum	ә'dendәm	n. 补遗, 附加物; [化] 附加物; 齿顶	gre
addict	ә'dikt	vt. 使沉溺, 使上瘾; n. 入迷的人, 上瘾者	cet6 gre ielts ky toefl
addicted	ә'diktid	a. 沉溺于...的, 无法摆脱(某种嗜好)的; [法] 嗜, 好, 惯于	gk toefl
addictive	ә'diktiv	a. 上瘾的	toefl
addition	ә'diʃәn	n. 加法, 增加的人(或物); [计] 加法	cet4 cet6 gk gre ielts ky
additional	ә'diʃәnәl	a. 附加的, 另外的, 额外的; [机] 加添的, 附加的	cet4 cet6 ielts ky toefl
additive	'æditiv	a. 添加的, 附加的, 加法的, 累积的; n. 添加物	gre toefl
addle	'ædl	vt. 使昏乱, 使腐坏; vi. 变质; a. 昏乱的, 腐坏的	gre toefl
address	ә'dres	n. 住址, 演说, 举止, 灵巧, 求爱; vt. 发表(演说或讲话), 对付, 写地址; [计] 地址, 寻址	cet4 cet6 gk gre ielts ky toefl zk
adduce	ә'dju:s	vt. 引证, 举出; [法] 援引, 引证, 提出	gre
adept	ә'dept	a. 熟练的, 老练的, 巧妙的; n. 能手, 内行	gre ielts toefl
adequate	'ædikwәt	a. 适当的, 足够的; [法] 胜任的, 适当的, 充分的	cet4 cet6 gk gre ielts ky toefl
adhere	әd'hiә	vi. 依附, 粘着, 坚持, 追随, 拥护; vt. 使粘附	cet4 cet6 gre ielts ky toefl
adherence	әd'hiәrәns	n. 依附, 固执, 坚持; [化] 粘合	toefl
adherent	әd'hiәrәnt	n. 信徒, 追随者; a. 附着的, 发生联系的	gre
adhesive	әd'hi:siv	a. 粘着的, 涂有粘性物质的; n. 粘合剂, 橡皮膏	gre toefl
adjacent	ә'dʒeisәnt	a. 毗连的, 邻近的, 连接的; [机] 相邻的, 邻位的, 交界的	cet6 gre ielts ky toefl
adjective	'ædʒiktiv	n. 形容词; a. 形容词的, 从属的	cet4 ky
adjoin	ә'dʒɒin	v. 邻接, 毗连	cet6 ielts ky toefl
adjoining	ә'dʒɒiniŋ	a. 邻接的, 毗连的; [机] 联接	toefl
adjourn	ә'dʒә:n	vi. 休会, 换地方; vt. 使中止, 推迟	gre toefl
adjudicate	ә'dʒu:dikeit	v. 判决, 宣告, 裁定	gre
adjunct	'ædʒʌŋkt	n. 附属物, 附件, 助手, 修饰语; a. 附属的	gre toefl
adjust	ә'dʒʌst	vt. 调整, 使适应于, 校准; vi. 适应于, 被调节, 相互熟悉而适应	cet4 cet6 gk gre ielts ky toefl
adjustable	ә'dʒʌstәbl	a. 可调节的; [电] 可调整的	cet6
adjustment	ә'dʒʌstmәnt	n. 调整, 调节, 校正; [化] 调节	gk toefl
adlib	æd'lib	v. 临时穿插, 信口说出, 即兴讲演; [计] 状态说明设计语言	gre
administer	әd'ministә	vt. 管理, 料理, 执行; vi. 执行遗产管理人的职责, 给予帮助	ielts ky toefl
administrate	әd'ministreit	vt. 管理, 支配	ky toefl
administration	әd.mini'streiʃәn	n. 行政, 管理, 政府机关; [化] 给药	cet4 cet6 gk ielts ky toefl
administrative	әd'ministrәtiv	a. 管理的, 行政的; [法] 行政的, 管理的, 遗产管理的	toefl
administrator	әd'ministreitә	n. 管理人, 行政官; [经] 遗产管理人员	ielts toefl
admirable	'ædmәrәbl	a. 可钦佩的, 极好的, 令人惊奇的	gk toefl
admiration	.ædmә'reiʃәn	n. 赞赏, 钦佩, 引人赞赏的对象	cet6 toefl
admire	әd'maiә	vt. 赞美, 钦佩, 爱慕; vi. 称赞, 惊奇	cet4 gk gre ky toefl
admission	әd'miʃәn	n. 准许进入, 入场费, 录用, 承认; [经] 加入, 入股	cet4 cet6 gk gre ielts ky toefl
admit	әd'mit	vt. 承认, 接受, 允许进入, 容许; vi. 开向, 容许, 承认	cet4 gk ky toefl
admittedly	әd'mitidli	adv. 公认地, 诚然	toefl
admonish	әd'mɒniʃ	vt. 警告, 劝告, 训诫, 告诫	gre toefl
adobe	ә'doubi	n. 风干土坯; [化] 风干砖; 土砖; 灰质粘土; 多孔粘土	gre toefl
adolescence	.ædәu'lesәns	n. 青春期; [医] 青年期, 青春期	gk ielts
adolescent	.ædәu'lesәnt	a. 青春期的, 青少年的; n. 青少年	cet6 gk gre ky toefl
adopt	ә'dɒpt	vt. 采用, 正式通过, 收养, 接受; [医] 采取	cet4 cet6 gk gre ielts ky toefl
adoption	ә'dɒpʃәn	n. 采用, 采纳, 收养; [法] 收养, 采纳, 采用	cet6 toefl
adore	ә'dɒ:	vt. 崇拜, 爱慕, 喜爱; vi. 崇拜, 爱慕	cet6 gk gre ielts ky toefl
adorn	ә'dɒ:n	vt. 装饰, 使生色	gre toefl
adornment	ә'dɒ:nmәnt	n. 装饰, 装饰品	toefl
adroit	ә'drɒit	a. 灵巧的, 敏捷的, 聪明的	gre toefl
adulate	'ædjuleit	vt. 谄媚, 过分称赞	gre
adult	'ædʌlt	n. 成人, 成虫; a. 成年的, 成熟的	cet4 gk ielts ky
adulterate	ә'dʌltәreit	vt. 掺杂; a. 掺假的, 假的, 通奸的	gre
adulteration	ә.dʌltә'reiʃәn	n. 掺杂, 掺假的东西; [化] 掺杂; 掺加	toefl
adults		n. 成年人（adult的复数形式）	ielts
adumbrate	'ædʌmbreit	vt. 画...的轮廓, 预示	gre
advance	әd'vɑ:ns	n. 前进, 进展, 行过的路程; vi. 前进, 进展, 提高, 上涨; vt. 使前进, 促进, 提出, 提高, 使提前, 预付; a. 前面的, 预先的	cet4 cet6 gk ky toefl
advanced	әd'vɑ:nst	a. 在前的, 高级的, 先进的, 年老的; [法] 预付的, 预支的, 垫付的	cet4 ielts ky toefl
advancement	әd'vɑ:nsmәnt	n. 前进, 进步, 提升; [医] 徙前术	toefl
advantage	әd'vɑ:ntidʒ	n. 优点, 便利, 好处, 优势; vt. 有助于	cet4 gk ky zk
advantageous	.ædvәn'teidʒәs	a. 有利的, 有益的	cet6
advantages		n. 优势；特点；有利；[经] 利益（advantage的复数）; v. 促进（advantage的三单形式）；有利于	ielts
advent	'ædvәnt	n. 来到, 来临	gre ielts ky toefl
adventitious	.ædven'tiʃәs	a. 偶然的, 外来的; [医] 偶生的, 偶发的; 异位的	gre toefl
adventure	әd'ventʃә	n. 冒险, 冒险经历; v. 冒险	cet4 gk ky toefl
adventurer	әd'ventʃәrә	n. 冒险家, 投机者; [法] 冒险者, 投机者	toefl
adventurous	әd'ventʃәrәs	a. 喜欢冒险的, 有进取心的, 危险的	toefl
adverb	'ædvә:b	n. 副词	cet4 ky
adverse	'ædvә:s	a. 不利的, 敌对的, 相反的, 逆的; [法] 相反的, 敌对的, 逆的	cet6 gre ielts ky toefl
adversely		adv. 不利, 有害, 相反, 逆, 敌对, 逆向	toefl
adversity	әd'vә:sәti	n. 逆境, 不幸, 灾祸, 灾难	toefl
advert	әd'vә:t	vi. 提出看法, 引起注意, 留意; n. 广告	gre
advertise	'ædvәtaiz	vt. 做广告, 通知, 公布; vi. 做广告	cet4 cet6 gk gre ielts ky
advertisement	.ædvә'taizmәnt	n. 广告, 启事, 广告宣传; [法] 广告, 公告, 告示	cet4 gk ielts zk
advertisements		n. [经] 广告（advertisement的复数）；宣传	ielts
advertising	'ædvәtaiziŋ	n. 广告业, 广告; a. 广告的; [计] 发广告	ielts
advice	әd'vais	n. 忠告, 劝告, 意见, 报道, 通知; [经] 通知书, 通知, 建议	cet4 cet6 gk ielts ky toefl zk
advisable	әd'vaizәbl	a. 适当的, 明智的	cet4 cet6 gre ky toefl
advise	әd'vaiz	vt. 劝告, 给...出主意, 通知, 建议; vi. 提意见, 商量	cet4 cet6 gk ky toefl zk
